time,yaw,pitch,roll
39.058,84.47,17.5,-4.94
39.158,86.55,15.8,-7.47
39.257,84.17,12.97,-6.99
39.356,82.58,12.23,-5.72
39.455,82.74,12.83,-7.06
39.555,80.87,14.44,-6.03
39.659,80.82,15.67,-7.38
39.759,78.43,12.75,-7.84
39.859,75.83,11.3,-6.51
39.958,75.45,10.64,-4.72
40.057,77,11.14,-4.8
40.156,78.77,12.32,-6.37
40.256,79.93,14.38,-8.15
40.355,82.24,15.71,-10.91
40.455,85.29,16.67,-14.1
40.554,86.31,18.05,-14.1
40.653,85.01,17.49,-12.68
40.753,84.91,16.7,-12.78
40.852,83.68,16.21,-11.75
40.952,80.69,13.94,-7.07
41.051,82.21,14.32,-4.59
41.15,83.95,15.08,-5.5
41.25,83.58,15.29,-5.8
41.349,84.72,16,-8.49
41.449,84.58,17.45,-12.26
41.548,84.85,18.64,-16.12
41.647,87.22,19.15,-19.1
41.747,88.77,18.55,-21.75
41.846,89.49,17.98,-22.71
41.946,90.53,17.9,-22.12
42.045,90.4,17.77,-20.45
42.145,89.59,18.85,-18.09
42.244,82.89,13.54,-14.17
42.344,84.39,13,-12.09
42.443,85.2,14.61,-8.65
42.542,84.62,15.73,-5.87
42.641,84.04,16.24,-4.58
42.741,82.74,15.69,-4.38
42.84,83.33,16.33,-7.04
42.94,84.68,17.16,-10.73
43.039,86.26,18.03,-11.87
43.139,88.66,18.47,-13.97
43.233,90.46,18.38,-15.13
43.332,92.21,18.37,-14.24
43.432,93.58,17.99,-12.57
43.531,92.92,18.2,-9.71
43.639,91.25,17.26,-7.63
43.738,90.87,18.36,-6.23
43.838,88.77,18.18,-3.91
43.938,87.65,17.93,-2.96
44.037,87.83,18.19,-2.69
44.136,87.38,18.23,-3.41
44.236,87.62,17.81,-5.96
44.335,86.31,17.4,-10.61
44.434,86,19.43,-14.92
44.534,86.33,21.56,-17.87
44.633,86.54,20.26,-18.16
44.733,88.53,18.01,-19.22
44.832,88,15.98,-19.78
44.932,89.8,16.92,-22.4
45.031,90.19,18.67,-23.84
45.13,92.67,19.49,-25.93
45.229,96.63,17.39,-25.54
